Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Attack
192.168.100.149-192.168.100.3-62865-80-6,192.168.205.72,62865,192.168.191.175,80,6,04/06/2018 01:20:06 PM,24789150,3,3,100,100,100,0,33.33333333,57.73502692,100,0,33.33333333,57.73502692,8.068045899,0.242041377,4957830,10928619.77,24507408,26375,24633778,12316889,17239997.3,24507408,126370,24704236,12352118,17431232.92,24677861,26375,0,0,0,0,60,68,0.121020688,0.121020688,0,100,42.85714286,53.45224838,2857.142857,0,1,0,0,0,0,0,0,1,50,33.33333333,33.33333333,0,0,0,0,0,0,3,100,3,100,-1,29200,1,0,155372,0,155372,155372,24507408,0,24507408,24507408,1,DDoS
192.168.100.150-192.168.100.5-34110-80-17,192.168.205.72,34110,192.168.205.72,80,17,04/06/2018 02:13:36 PM,20284432,6,1,0,0,0,0,0,0,0,0,0,0,0,0.345092236,3380738.667,13864.13391,3397780,3362190,16908917,3381783.4,15234.22966,3397780,3362190,0,0,0,0,0,0,0,0,0,48,8,0.295793345,0.049298891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,1,DDoS
192.168.100.149-192.168.100.3-55130-80-6,192.168.3.139,55130,192.168.205.36,80,6,04/06/2018 01:15:10 PM,28449174,3,3,100,100,100,0,33.33333333,57.73502692,100,0,33.33333333,57.73502692,7.030081084,0.210902433,5689834.8,12528667.18,28101563,23497,28277560,14138780,19746357.09,28101563,175997,28296674,14148337,19956181.12,28259488,37186,0,0,0,0,60,68,0.105451216,0.105451216,0,100,42.85714286,53.45224838,2857.142857,0,1,0,0,0,0,0,0,1,50,33.33333333,33.33333333,0,0,0,0,0,0,3,100,3,100,-1,29200,1,0,171614,0,171614,171614,28101563,0,28101563,28101563,1,Reconnaissance
192.168.100.149-192.168.100.5-18813-80-6,192.168.101.57,18813,192.168.139.234,80,6,04/06/2018 05:17:49 PM,13105976,2,1,200,100,100,100,100,0,100,100,100,0,22.89032118,0.228903212,6552988,5262465.442,10274113,2831863,10274113,10274113,0,10274113,10274113,0,0,0,0,0,0,0,0,0,40,20,0.152602141,0.076301071,100,100,100,0,0,0,1,0,0,0,0,0,0,0,133.3333333,100,100,0,0,0,0,0,0,2,200,1,100,-1,512,2,0,2831863,0,2831863,2831863,10274113,0,10274113,10274113,1,DDoS
192.168.100.147-192.168.100.3-52929-80-6,192.168.242.67,52929,192.168.216.211,80,6,04/06/2018 05:12:29 PM,18775087,5,2,400,100,100,0,80,44.72135955,100,0,50,70.71067812,26.63103505,0.372834491,3129181.167,2896776.064,7948089,39971,15136681,3784170.25,3173058.032,7948089,233380,3831815,3831815,0,3831815,3831815,0,0,0,0,100,44,0.266310351,0.10652414,0,100,75,46.29100499,2142.857143,0,1,0,0,0,0,0,0,0,85.71428571,80,50,0,0,0,0,0,0,5,400,2,100,-1,29200,4,0,7161512,0,7161512,7161512,7948089,0,7948089,7948089,1,DoS
192.168.100.148-192.168.100.5-1155-80-17,192.168.152.122,1155,192.168.205.72,80,17,04/06/2018 06:21:01 PM,38599445,9,1,0,0,0,0,0,0,0,0,0,0,0,0.259071082,4288827.222,1542786.259,7130588,3284920,35240488,4405061,1606627.993,7130588,3284920,0,0,0,0,0,0,0,0,0,72,8,0.233163974,0.025907108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,-1,-1,0,0,20387087,0,20387087,20387087,6925826.5,289576.4904,7130588,6721065,1,DDoS
192.168.100.148-192.168.100.3-40850-41269-6,192.168.231.7,40850,192.168.233.215,41269,6,21/05/2018 03:34:01 PM,91,0,2,0,0,0,0,0,0,0,0,0,0,0,21978.02198,91,0,91,91,0,0,0,0,0,91,91,0,91,91,0,0,0,0,0,44,0,21978.02198,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,Reconnaissance
192.168.100.148-192.168.100.3-36132-80-6,192.168.11.29,36132,192.168.69.54,80,6,04/06/2018 05:02:27 PM,14618756,5,2,400,100,100,0,80,44.72135955,100,0,50,70.71067812,34.20263667,0.478836913,2436459.333,1856240.633,4286024,46134,11288598,2822149.5,1817481.921,4286024,172225,7015187,7015187,0,7015187,7015187,0,0,0,0,100,44,0.342026367,0.136810547,0,100,75,46.29100499,2142.857143,0,1,0,0,0,0,0,0,0,85.71428571,80,50,0,0,0,0,0,0,5,400,2,100,-1,29200,4,0,0,0,0,0,0,0,0,0,1,Reconnaissance
192.168.100.147-192.168.100.6-13332-80-17,192.168.145.73,13332,192.168.205.72,80,17,04/06/2018 02:14:43 PM,17505781,4,1,0,0,0,0,0,0,0,0,0,0,0,0.285619933,4376445.25,18289.03636,4394701,4360509,13116116,4372038.667,19627.16017,4394701,4360509,0,0,0,0,0,0,0,0,0,32,8,0.228495947,0.057123987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,1,DoS
192.168.100.150-192.168.100.3-36862-80-6,192.168.191.175,36862,192.168.205.72,80,6,04/06/2018 05:10:07 PM,22435271,6,2,500,100,100,0,83.33333333,40.82482905,100,0,50,70.71067812,26.74360385,0.356581385,3205038.714,2475316.284,6322847,50843,22214382,4442876.4,1576531.173,6322847,2343356,170046,170046,0,170046,170046,0,0,0,0,120,44,0.267436039,0.089145346,0,100,77.77777778,44.09585518,1944.444444,0,1,0,0,0,0,0,0,0,87.5,83.33333333,50,0,0,0,0,0,0,6,500,2,100,-1,29200,5,0,220889,0,220889,220889,5803890,733916.0277,6322847,5284933,1,Reconnaissance
