Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Attack
192.168.100.148-192.168.100.3-50428-35498-6,192.168.126.171,50428,192.168.49.123,35498,6,22/05/2018 03:36:04 PM,1670,0,2,0,0,0,0,0,0,0,0,0,0,0,1197.60479,1670,0,1670,1670,0,0,0,0,0,1670,1670,0,1670,1670,0,0,0,0,0,44,0,1197.60479,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,Reconnaissance
192.168.100.150-192.168.100.5-17686-80-6,192.168.208.34,17686,192.168.49.123,80,6,04/06/2018 01:15:57 PM,36351006,3,1,300,100,100,100,100,0,100,100,100,0,11.00382201,0.11003822,12117002,7232516.319,19605883,5171501,24777384,12388692,10206649.39,19605883,5171501,0,0,0,0,0,0,0,0,0,60,20,0.082528665,0.027509555,100,100,100,0,0,0,1,0,0,0,0,0,0,0,125,100,100,0,0,0,0,0,0,3,300,1,100,-1,512,3,0,0,0,0,0,12117002,7232516.319,19605883,5171501,1,DDoS
192.168.100.147-192.168.100.3-65233-32566-6,192.168.146.254,65233,192.168.20.116,32566,6,21/05/2018 08:34:01 PM,133,0,2,0,0,0,0,0,0,0,0,0,0,0,15037.59398,133,0,133,133,0,0,0,0,0,133,133,0,133,133,0,0,0,0,0,44,0,15037.59398,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,Reconnaissance
192.168.100.147-192.168.100.5-58764-80-17,192.168.89.92,58764,192.168.49.123,80,17,04/06/2018 02:36:55 PM,31252714,9,1,0,0,0,0,0,0,0,0,0,0,0,0.319972211,3472523.778,954593.9613,5623251,2605403,28460434,3557554.25,983392.3793,5623251,2605403,0,0,0,0,0,0,0,0,0,72,8,0.28797499,0.031997221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,-1,-1,0,0,21624661,0,21624661,21624661,5623251,0,5623251,5623251,1,DoS
192.168.100.150-192.168.100.6-54419-80-17,192.168.228.174,54419,192.168.49.123,80,17,04/06/2018 02:32:10 PM,41033262,8,1,0,0,0,0,0,0,0,0,0,0,0,0.219334256,5129157.75,2014604.673,9932277,3560859,36078005,5154000.714,2174697.766,9932277,3560859,0,0,0,0,0,0,0,0,0,64,8,0.194963783,0.024370473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,-1,-1,0,0,26196769,0,26196769,26196769,9932277,0,9932277,9932277,1,DDoS
192.168.100.149-192.168.100.3-49174-80-6,192.168.62.172,49174,192.168.49.123,80,6,04/06/2018 05:02:45 PM,10563007,3,1,300,100,100,100,100,0,100,100,100,0,37.86800482,0.378680048,3521002.333,135783.606,3617339,3365705,6945668,3472834,151503.2847,3579963,3365705,0,0,0,0,0,0,0,0,0,60,20,0.284010036,0.094670012,100,100,100,0,0,0,1,0,0,0,0,0,0,0,125,100,100,0,0,0,0,0,0,3,300,1,100,-1,512,3,0,0,0,0,0,0,0,0,0,1,Reconnaissance
192.168.100.150-192.168.100.3-52320-80-6,192.168.229.201,52320,192.168.49.123,80,6,04/06/2018 05:05:56 PM,23634625,5,2,400,100,100,0,80,44.72135955,100,0,50,70.71067812,21.1554023,0.296175632,3939104.167,4316087.481,11873492,40427,11761133,2940283.25,1887893.79,4290317,176450,12009515,12009515,0,12009515,12009515,0,0,0,0,100,44,0.211554023,0.084621609,0,100,75,46.29100499,2142.857143,0,1,0,0,0,0,0,0,0,85.71428571,80,50,0,0,0,0,0,0,5,400,2,100,-1,29200,4,0,0,0,0,0,11873492,0,11873492,11873492,1,Reconnaissance
192.168.100.148-192.168.100.7-57081-80-17,192.168.140.213,57081,192.168.49.123,80,17,04/06/2018 06:35:12 PM,25843569,7,1,0,0,0,0,0,0,0,0,0,0,0,0.309554768,3691938.429,1863799.489,7658845,2444397,18184724,3030787.333,704757.9505,4121530,2444397,0,0,0,0,0,0,0,0,0,56,8,0.270860422,0.038694346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,-1,-1,0,0,0,0,0,0,7658845,0,7658845,7658845,1,DDoS
192.168.100.149-192.168.100.3-59353-80-17,192.168.59.163,59353,192.168.49.123,80,17,04/06/2018 02:14:38 PM,21539718,22,1,0,0,0,0,0,0,0,0,0,0,0,1.067794852,979078.0909,19632.48934,1019998,949710,20562952,979188.1905,20110.35438,1019998,949710,0,0,0,0,0,0,0,0,0,176,8,1.021368989,0.046425863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,1,DDoS
192.168.100.147-192.168.100.6-42413-80-17,192.168.4.208,42413,192.168.49.123,80,17,04/06/2018 02:20:07 PM,32063738,6,1,0,0,0,0,0,0,0,0,0,0,0,0.218315157,5343956.333,3050398.305,11429602,3337003,27917093,5583418.6,3346803.84,11429602,3337003,0,0,0,0,0,0,0,0,0,48,8,0.187127278,0.03118788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,-1,-1,0,0,15361421,0,15361421,15361421,8351158.5,4353576.549,11429602,5272715,1,DoS
